2017-10-28T14:38:31.806656827Z,glass_mental,빛상혁..
2017-10-28T08:03:23.575Z,렉톤,마치 페벵을 보는듯함
2017-10-28T08:03:24.163Z,존재감,화질 개썩이네
2017-10-28T08:03:24.473Z,aromaqi4,킹갓상혁
2017-10-28T08:03:24.668Z,글피간다,블랭크 지금보니까 skt스킨이네 ㅋ
2017-10-28T08:03:24.779Z,아모르겠다,탑만 가네 ㅋㅋㅋㅋ
2017-10-28T08:03:24.99Z,다꿍,젤리 그자체
2017-10-28T08:03:25.111Z,초코맛딱풀,끈적끈적..
2017-10-28T08:03:25.516Z,parkjongwoo_theking,땡기업@@@@@@@@12121213
2017-10-28T08:03:25.937Z,sgkdh48,뱅 미친듯
2017-10-28T08:03:26.221Z,alstjr3098,아니그럼 편파중계하리? ㅋㅋㅋㅋ
2017-10-28T08:03:27.187Z,sdcloud317,빛 상혁 한방이면 도서관이야
2017-10-28T08:03:27.241Z,kevfriend,울프 직진 ㅡㅡ
2017-10-28T08:03:27.33Z,inyeong,우지 제발 이겨줘
2017-10-28T08:03:27.48Z,모비우스,대 상 혁
2017-10-28T08:03:27.749Z,성스러운구,뭔 느그야 잔나가 q쓰면 저거 뚫고가니
2017-10-28T08:03:27.763Z,gaun90,학교 컴퓨터실에서 중계함?
2017-10-28T08:03:28.166Z,따효신,파오후
2017-10-28T08:03:28.784Z,샤우,갓ㅡㅡㅡㅡㅡㅡㅡ구
2017-10-28T08:03:28.878Z,leehun22,탑 위험한데?
2017-10-28T08:03:29.757Z,여우뫼,갱 개무섭네
2017-10-28T08:03:30.033Z,gahojooo,킹짱혁만 믿습니다 BibleThump BibleThump
2017-10-28T08:03:30.109Z,챠니스,후니 위험한데?
2017-10-28T08:03:30.615Z,merciligh,젤 구
2017-10-28T08:03:30.659Z,ddaspi,갈리오 줜나쎄네진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2017-10-28T08:03:30.682Z,빨간자몽,역시 젤구 ㅋㅋㅋ
2017-10-28T08:03:30.724Z,ojt114,파오후 ㄷㄷ
2017-10-28T08:03:30.814Z,잣바워치123,RNG 승리 RNG 승리
2017-10-28T08:03:30.844Z,우유아이스크림,탑 위험한대
2017-10-28T08:03:30.898Z,kuro7703,유체화조무사
2017-10-28T08:03:31.123Z,까망호두,그저 페이커
2017-10-28T08:03:32.141Z,khj0505,바텀은 풀어주기만 해도 좋았음
2017-10-28T08:03:32.881Z,oneswin,페이커 그자체
2017-10-28T08:03:32.973Z,까미노,갓구
2017-10-28T08:03:33.28Z,아브릴,후니 조심해야
2017-10-28T08:03:34.37Z,슈투카,또?
2017-10-28T08:03:34.387Z,Zhfspt,해설왜케작냐
2017-10-28T08:03:34.487Z,게임짱,뱅 힐왜씀 ㅋㅋ
2017-10-28T08:03:34.981Z,솔플감,탑 ㅋㅋ
2017-10-28T08:03:35.962Z,ghikhoon,자크 초반에 안말림 갠찬
2017-10-28T08:03:36.267Z,어쌔신,바텀힐썻네
2017-10-28T08:03:36.361Z,치킨치킨해줘,;;;
2017-10-28T08:03:36.98Z,몬캣,느그..니
2017-10-28T08:03:37.142Z,tkddyddl,음질 왜이럴까
2017-10-28T08:03:37.764Z,또봉이,아 ㅡㅡ
2017-10-28T08:03:38.282Z,마스카마지막한올,좋니 또시작?
2017-10-28T08:03:39.731Z,10sekki,?
2017-10-28T08:03:39.873Z,kalssuma,후니죽이기네
2017-10-28T08:03:40.577Z,최민성,침착
2017-10-28T08:03:42.224Z,산삼과자,느그니
2017-10-28T08:03:43.191Z,친구들아미안해,?
2017-10-28T08:03:43.921Z,rainhope_,아끼똥
2017-10-28T08:03:43.979Z,yapyap30cm,갱플 얍얍이냐?
2017-10-28T08:03:44.433Z,bok9zz9,귤 잘 아꼇는데
2017-10-28T08:03:44.573Z,halfmoon8,빛 후 니
2017-10-28T08:03:44.936Z,갓이유노래만틀자,빛휴니
2017-10-28T08:03:46.354Z,jymskt2323,와
2017-10-28T08:03:46.433Z,움파룸파스,후니야아아아
