1509154121,최민석,기도메타
1509154121,실바나스님그립습니다,되겠냐 바텀이 이꼬라진데
1509154121,정제승의과학콘서트,이미지 트레이닝중
1509154121,왜자꾸변경하래,"중국 긴장해라, skt 떨어져도 삼성이 남아 있다 BibleThump"
1509154121,basswinter,뱅 멘탈 ㄹㅇ 터진듯
1509154121,숲플레,100
1509154122,Golloganda,연예인병 걸렸쥬?
1509154122,ymw2417,기도하냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154122,왓구냄새,블랭크 나와라
1509154122,qqttqt,100
1509154122,DokdoJikimi,제발 중국한테만 지지말자
1509154122,ogn_hofop,100
1509154122,스택먹는내루미,구원투수역 아닌데 피넛은
1509154122,allo1229,랩미?
1509154122,l2o2,뱅 잘 좀 해라 제발
1509154122,werthefuture,뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스뱅인분 롤렉스
1509154122,곽유민,?vlsjt
1509154123,프로콘,진것같다
1509154123,한세신,뱅 제대로 하자
1509154123,sung94120,왕호 skt 숨통끊을 기회다
1509154123,펩시먹는곰,뱅색히야 프로처럼좀 해봐
1509154123,supermario922,흑염룡 뱅이 있어야한다 ㅇㅈ??
1509154123,Tranq2012,피넛 스파이잖아
1509154123,자옥이,룩삼이냐 기도하게
1509154123,스마욱,뱅...신
1509154124,windiweni,뱅아 잘좀하자 부탁한다.
1509154124,천솨,100 기도할 시간에 연습하자 ㅋㅋ
1509154124,打打打打打打打打打,자냐?
1509154124,헬라임,ㅈㅈ
1509154124,얍잘알,하스스톤하냐
1509154124,g3610,이미지트레이닝중ㅋㅋㅋㅋㅋㅋㅋㅋ
1509154124,코노스바우주명작,10시발
1509154124,3부리거미라지,피넛오면 더발림
1509154124,듀링,뱅뱅뱅~ 빵야빵야빵야
1509154124,칸쵸가좋아,카메라좀 돌려 ㅈ같으닊싸
1509154125,angsunnyman,100
1509154125,fjieod124,멘탈 터졌다 엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154125,ganzikang,프레이?
1509154125,멋쟁이아님,야 우냐
1509154125,winston0521,뱅 뭐하냐
1509154125,싀불넘들,그래 기도메타 가자
1509154125,하뇽,BlessRNG
1509154125,535754,이미지 트레이닝중
1509154125,개념없는애,뱅도
1509154126,까칠이네,세주 벤좀하자
1509154126,붑사,드르렁메타
1509154126,hp783,이거 노머고 해야댐
1509154126,avstarahri,뱅 자리에 피넛 나오는거 아니었냐
1509154126,eodajd,깨어나세여 영웅이여
1509154126,onechub,트타보고 베인 뽑았는데 100 개무시 당하고 졌으닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154126,mnmnmmnm,벼락치기 이미지트레이닝중
1509154126,온라인여포,멘탈 챙겨 뭐해
1509154126,p5w2r,뱅 스크림중
1509154126,drapoei,기도메타
1509154126,jyw5880,뱅 기도메타
